2022-03-20 19:22:59,584 INFO    MainThread:20428 [wandb_setup.py:_flush():71] setting env: {}
2022-03-20 19:22:59,585 INFO    MainThread:20428 [wandb_setup.py:_flush():71] setting login settings: {}
2022-03-20 19:22:59,585 INFO    MainThread:20428 [wandb_init.py:_log_setup():371] Logging user logs to D:\NIAA\App\wandb\run-20220320_192259-3os79w37\logs\debug.log
2022-03-20 19:22:59,585 INFO    MainThread:20428 [wandb_init.py:_log_setup():372] Logging internal logs to D:\NIAA\App\wandb\run-20220320_192259-3os79w37\logs\debug-internal.log
2022-03-20 19:22:59,585 INFO    MainThread:20428 [wandb_init.py:init():404] calling init triggers
2022-03-20 19:22:59,585 INFO    MainThread:20428 [wandb_init.py:init():409] wandb.init called with sweep_config: {}
config: {}
2022-03-20 19:22:59,585 INFO    MainThread:20428 [wandb_init.py:init():449] starting backend
2022-03-20 19:22:59,585 INFO    MainThread:20428 [backend.py:_multiprocessing_setup():95] multiprocessing start_methods=spawn, using: spawn
2022-03-20 19:22:59,600 INFO    MainThread:20428 [backend.py:ensure_launched():199] starting backend process...
2022-03-20 19:22:59,852 INFO    MainThread:20428 [backend.py:ensure_launched():204] started backend process with pid: 13328
2022-03-20 19:22:59,868 INFO    MainThread:20428 [wandb_init.py:init():458] backend started and connected
2022-03-20 19:22:59,868 INFO    MainThread:20428 [wandb_init.py:init():519] updated telemetry
2022-03-20 19:22:59,996 INFO    MainThread:20428 [wandb_init.py:init():549] communicating current version
2022-03-20 19:23:03,298 INFO    MainThread:20428 [wandb_init.py:init():554] got version response upgrade_message: "wandb version 0.12.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-03-20 19:23:03,298 INFO    MainThread:20428 [wandb_init.py:init():564] communicating run to backend with 30 second timeout
2022-03-20 19:23:05,240 INFO    MainThread:20428 [wandb_init.py:init():592] starting run threads in backend
2022-03-20 19:23:10,270 INFO    MainThread:20428 [wandb_run.py:_console_start():1816] atexit reg
2022-03-20 19:23:10,270 INFO    MainThread:20428 [wandb_run.py:_redirect():1690] redirect: SettingsConsole.WRAP
2022-03-20 19:23:10,270 INFO    MainThread:20428 [wandb_run.py:_redirect():1727] Wrapping output streams.
2022-03-20 19:23:10,277 INFO    MainThread:20428 [wandb_run.py:_redirect():1751] Redirects installed.
2022-03-20 19:23:10,277 INFO    MainThread:20428 [wandb_init.py:init():619] run started, returning control to user process
